adresse;name;bytes;aufrufer;ruft_auf
0x00401000;FUN_00401000;31;1;1
0x00401020;FUN_00401020;26;5;1
0x00401040;FUN_00401040;19;1;1
0x00401060;FUN_00401060;134;4;1
0x004010f0;FUN_004010f0;42;75;0
0x00401120;FUN_00401120;49;24;0
0x00401160;FUN_00401160;96;0;1
0x004011c0;FUN_004011c0;30;0;0
0x004011e0;FUN_004011e0;23;0;0
0x00401200;CON_Cache<T>__SetAlternativeExtension_2;1249;7;11
0x004016f0;FUN_004016f0;297;10;9
0x00401820;CON_Cache<T>__SetAlternativeExtension;73;1;3
0x00401870;FUN_00401870;139;1;1
0x00401900;FUN_00401900;28;1;1
0x00401920;FUN_00401920;142;1;2
0x004019b0;FUN_004019b0;142;1;2
0x00401a40;FUN_00401a40;142;1;2
0x00401ad0;FUN_00401ad0;142;1;2
0x00401b60;FUN_00401b60;142;1;2
0x00401bf0;FUN_00401bf0;186;1;2
0x00401cb0;FUN_00401cb0;146;7;4
0x00401d50;FUN_00401d50;1788;7;2
0x00402450;FUN_00402450;317;1;0
0x00402590;FUN_00402590;310;8;4
0x004026d0;FUN_004026d0;14;8;0
0x004026e0;FUN_004026e0;165;8;0
0x00402790;FUN_00402790;374;1;4
0x00402910;FUN_00402910;4604;1;3
0x00403b30;AQU_Input__CollectMouse;483;1;4
0x00403d30;FUN_00403d30;30;1;1
0x00403d50;FUN_00403d50;11;1;0
0x00403d60;FUN_00403d60;218;3;0
0x00403e40;FUN_00403e40;13;5;0
0x00403e50;FUN_00403e50;1;99;0
0x00403e60;FUN_00403e60;36;1;0
0x00403e90;AQU_InputConfiguration__Parse;2951;1;17
0x00404a20;AQU_InputConfiguration__GetAction_2;1089;1;2
0x00404e70;AQU_InputConfiguration__GetAction_3;389;1;2
0x00405000;AQU_InputConfiguration__GetAction;374;1;3
0x00405180;FUN_00405180;2882;2;2
0x00405cd0;FUN_00405cd0;1411;1;2
0x00406260;Aqua_Locale__Aqua_Locale;468;1;15
0x00406440;Aqua_Locale__GetLanguageTpye;336;14;5
0x00406590;FUN_00406590;19;1;1
0x004065b0;FUN_004065b0;36;3;1
0x004065e0;FUN_004065e0;24;3;1
0x00406600;FUN_00406600;95;3;4
0x00406660;FUN_00406660;290;3;13
0x00406790;FUN_00406790;20;5;1
0x004067b0;FUN_004067b0;180;4;4
0x00406870;FUN_00406870;71;4;4
0x004068c0;Aqua_Network__HeartBeat;455;2;14
0x00406ab0;Aqua_Network__Server_Startup;692;1;33
0x00406d70;FUN_00406d70;68;1;3
0x00406dc0;FUN_00406dc0;54;1;2
0x00406e00;FUN_00406e00;6;7;0
0x00406e10;FUN_00406e10;160;2;5
0x00406eb0;Aqua_Network__Client_Startup;454;1;15
0x00407080;FUN_00407080;158;1;5
0x00407120;FUN_00407120;280;1;10
0x00407240;FUN_00407240;228;1;7
0x00407330;FUN_00407330;194;2;5
0x00407400;FUN_00407400;76;1;4
0x00407450;FUN_00407450;112;21;2
